""
"Indicator name: Greenhouse gas (GHG) emissions from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Total greenhouse gas emissions from agriculture contain all the emissions produced in the different agricultural emissions sub-domains, providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities."
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1990","6117.77"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1991","6076.50"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1992","6176.24"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1993","6300.26"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1994","6418.68"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1995","6476.06"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1996","6635.14"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1997","6822.10"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1998","6852.69"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1999","6877.20"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2000","7086.53"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2001","7001.18"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2002","6924.30"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2003","7008.03"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2004","7107.20"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2005","7096.98"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2006","7012.92"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2007","7104.93"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2008","6911.81"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2009","6474.08"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2010","6719.56"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2011","6613.09"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2012","6429.95"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2013","6506.83"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2014","6606.35"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","2015","6444.40"
"Indicator name: Greenhouse gas (GHG) emissions from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Total greenhouse gas emissions from agriculture contain all the emissions produced in the different agricultural emissions sub-domains, providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1961","64001.46"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1962","66222.62"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1963","65898.95"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1964","66234.68"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1965","67577.63"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1966","69092.48"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1967","70415.44"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1968","71528.35"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1969","72516.24"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1970","72887.32"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1971","73417.83"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1972","73551.30"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1973","73874.95"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1974","76074.85"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1975","76335.59"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1976","77200.37"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1977","77652.92"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1978","79157.65"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1979","80347.16"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1980","81067.22"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1981","80199.54"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1982","81214.99"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1983","80424.10"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1984","82407.83"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1985","83537.96"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1986","83290.58"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1987","82468.38"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1988","81504.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1989","79521.63"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1990","79411.25"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1991","74888.05"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1992","68236.40"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1993","66118.66"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1994","66635.20"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1995","66537.89"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1996","66148.37"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1997","66335.27"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1998","65677.92"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","1999","65835.14"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2000","63800.22"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2001","63357.76"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2002","62241.64"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2003","61107.24"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2004","60312.35"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2005","59885.10"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2006","57667.66"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2007","58891.39"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2008","58525.74"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2009","58524.82"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2010","59061.34"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2011","57715.20"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2012","58004.81"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2013","58801.61"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2014","60192.01"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2015","58996.88"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2016","58029.45"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2017","56702.34"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2030","57838.37"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","Germany","2050","55460.54"
"Indicator name: Greenhouse gas (GHG) emissions, total  Data Source: null(http://edgar.jrc.ec.europa.eu/), European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.(http://edgar.jrc.ec.europa.eu/)"
"Description: The GHG total, expressed in million metric tons of CO2 equivalent, are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and Savannah burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6)of drained peatlands)."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1970","2010.83"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1971","2059.88"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1972","2138.33"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1973","2185.00"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1974","2209.78"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1975","2395.58"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1976","2456.65"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1977","2631.62"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1978","2820.82"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1979","2863.46"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1980","2832.07"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1981","2804.16"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1982","2883.71"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1983","2994.84"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1984","3179.58"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1985","3189.51"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1986","3317.50"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1987","3496.84"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1988","3683.87"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1989","3798.90"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1990","3859.07"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1991","3995.01"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1992","4116.22"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1993","4332.60"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1994","4533.78"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1995","4934.71"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1996","4937.36"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1997","4938.12"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1998","5014.42"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","1999","4964.22"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2000","5200.36"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2001","5391.02"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2002","5710.52"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2003","6447.13"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2004","7315.28"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2005","8136.08"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2006","8947.18"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2007","9652.35"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2008","9804.09"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2009","10412.93"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2010","11254.47"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2011","12234.29"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2012","12488.24"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2013","12982.92"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2014","13113.21"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","China","2015","13067.69"
